"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Jalen Richard",3000,"Den@Oak 08:30PM ET",6.875,"Oak"
"WR","Jordan Norwood",3000,"Den@Oak 08:30PM ET",3.363,"Den"
"WR","Bennie Fowler",3000,"Den@Oak 08:30PM ET",3.083,"Den"
"WR","Jordan Taylor",3000,"Den@Oak 08:30PM ET",1.188,"Den"
"WR","Andre Holmes",3000,"Den@Oak 08:30PM ET",3.038,"Oak"
"WR","Cody Latimer",3000,"Den@Oak 08:30PM ET",0.867,"Den"
"WR","Seth Roberts",3000,"Den@Oak 08:30PM ET",8.813,"Oak"
"WR","Johnny Holton",3000,"Den@Oak 08:30PM ET",0.713,"Oak"
"RB","Reggie Bush",3000,"Buf@Sea 08:30PM ET",2.583,"Buf"
"RB","Jerome Felton",3000,"Buf@Sea 08:30PM ET",0.986,"Buf"
"RB","Will Tukuafu",3000,"Buf@Sea 08:30PM ET",0.000,"Sea"
"RB","Jonathan Williams",3000,"Buf@Sea 08:30PM ET",2.125,"Buf"
"RB","Alex Collins",3000,"Buf@Sea 08:30PM ET",2.700,"Sea"
"WR","Brandon Tate",3000,"Buf@Sea 08:30PM ET",1.325,"Buf"
"WR","Justin Hunter",3000,"Buf@Sea 08:30PM ET",4.720,"Buf"
"WR","Walt Powell",3000,"Buf@Sea 08:30PM ET",3.600,"Buf"
