"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Carson Wentz",5100,"Phi@NYG 01:00PM ET",14.577,"Phi"
"WR","Quincy Enunwa",5100,"NYJ@Mia 01:00PM ET",13.025,"NYJ"
"QB","Trevor Siemian",5100,"Den@Oak 08:30PM ET",13.497,"Den"
"QB","Matt Schaub",5000,"Atl@TB 08:25PM ET",0.000,"Atl"
"QB","Mike Glennon",5000,"Atl@TB 08:25PM ET",0,"TB"
"QB","Ryan Griffin",5000,"Atl@TB 08:25PM ET",0,"TB"
"QB","Dan Orlovsky",5000,"Det@Min 01:00PM ET",0,"Det"
"QB","Shaun Hill",5000,"Det@Min 01:00PM ET",10.240,"Min"
"QB","Sam Bradford",5000,"Det@Min 01:00PM ET",14.413,"Min"
"QB","Josh Johnson",5000,"Phi@NYG 01:00PM ET",0,"NYG"
"QB","Chase Daniel",5000,"Phi@NYG 01:00PM ET",0.000,"Phi"
"QB","Ryan Nassib",5000,"Phi@NYG 01:00PM ET",0,"NYG"
"QB","Matt Moore",5000,"NYJ@Mia 01:00PM ET",0.000,"Mia"
"QB","Bryce Petty",5000,"NYJ@Mia 01:00PM ET",0,"NYJ"
"QB","Christian Hackenberg",5000,"NYJ@Mia 01:00PM ET",0,"NYJ"
"QB","Chad Henne",5000,"Jax@KC 01:00PM ET",0,"Jax"
"QB","Tyler Bray",5000,"Jax@KC 01:00PM ET",0,"KC"
"QB","Brandon Allen",5000,"Jax@KC 01:00PM ET",0,"Jax"
"QB","Mark Sanchez",5000,"Dal@Cle 01:00PM ET",0,"Dal"
"QB","Cody Kessler",5000,"Dal@Cle 01:00PM ET",11.416,"Cle"
"QB","Kevin Hogan",5000,"Dal@Cle 01:00PM ET",10.780,"Cle"
"QB","Joe Callahan",5000,"Dal@Cle 01:00PM ET",0,"Cle"
"QB","Ryan Mallett",5000,"Pit@Bal 01:00PM ET",0,"Bal"
"QB","Landry Jones",5000,"Pit@Bal 01:00PM ET",3.485,"Pit"
"QB","Zach Mettenberger",5000,"Pit@Bal 01:00PM ET",0,"Pit"
"QB","Luke McCown",5000,"NO@SF 04:05PM ET",0,"NO"
"QB","Christian Ponder",5000,"NO@SF 04:05PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"NO@SF 04:05PM ET",15.640,"SF"
"QB","Derek Anderson",5000,"Car@LA 04:05PM ET",7.840,"Car"
"QB","Joe Webb",5000,"Car@LA 04:05PM ET",0.260,"Car"
"QB","Case Keenum",5000,"Car@LA 04:05PM ET",14.617,"LA"
"QB","Sean Mannion",5000,"Car@LA 04:05PM ET",0,"LA"
"QB","Jared Goff",5000,"Car@LA 04:05PM ET",0.000,"LA"
"QB","Scott Tolzien",5000,"Ind@GB 04:25PM ET",0,"Ind"
"QB","Brett Hundley",5000,"Ind@GB 04:25PM ET",0,"GB"
"QB","Matt Cassel",5000,"Ten@SD 04:25PM ET",0.250,"Ten"
"QB","Kellen Clemens",5000,"Ten@SD 04:25PM ET",-0.025,"SD"
"RB","Derrick Henry",5000,"Ten@SD 04:25PM ET",5.975,"Ten"
"WR","Tyrell Williams",5000,"Ten@SD 04:25PM ET",12.875,"SD"
"QB","Austin Davis",5000,"Den@Oak 08:30PM ET",0,"Den"
"QB","Matt McGloin",5000,"Den@Oak 08:30PM ET",0.000,"Oak"
"QB","Connor Cook",5000,"Den@Oak 08:30PM ET",0,"Oak"
"QB","Paxton Lynch",5000,"Den@Oak 08:30PM ET",12.060,"Den"
"QB","Tyrod Taylor",5000,"Buf@Sea 08:30PM ET",18.013,"Buf"
"QB","EJ Manuel",5000,"Buf@Sea 08:30PM ET",1.275,"Buf"
"QB","Trevone Boykin",5000,"Buf@Sea 08:30PM ET",2.700,"Sea"
"QB","Cardale Jones",5000,"Buf@Sea 08:30PM ET",0,"Buf"
"RB","Theo Riddick",4900,"Det@Min 01:00PM ET",18.900,"Det"
"WR","Allen Hurns",4900,"Jax@KC 01:00PM ET",12.471,"Jax"
"WR","DeVante Parker",4800,"NYJ@Mia 01:00PM ET",10.250,"Mia"
"RB","Mark Ingram",4800,"NO@SF 04:05PM ET",12.757,"NO"
"WR","Golden Tate",4700,"Det@Min 01:00PM ET",11.588,"Det"
"RB","Terrance West",4700,"Pit@Bal 01:00PM ET",11.329,"Bal"
"WR","Sterling Shepard",4600,"Phi@NYG 01:00PM ET",11.343,"NYG"
"RB","Alfred Morris",4600,"Dal@Cle 01:00PM ET",3.829,"Dal"
"TE","Delanie Walker",4600,"Ten@SD 04:25PM ET",12.400,"Ten"
"WR","Corey Coleman",4500,"Dal@Cle 01:00PM ET",19.650,"Cle"
"RB","DeAngelo Williams",4500,"Pit@Bal 01:00PM ET",13.100,"Pit"
"RB","Frank Gore",4500,"Ind@GB 04:25PM ET",15.013,"Ind"
"RB","Charcandrick West",4400,"Jax@KC 01:00PM ET",5.233,"KC"
"WR","Kenny Britt",4400,"Car@LA 04:05PM ET",14.357,"LA"
"WR","Kendall Wright",4400,"Ten@SD 04:25PM ET",11.740,"Ten"
"RB","Matt Asiata",4300,"Det@Min 01:00PM ET",8.629,"Min"
"WR","Sammie Coates",4300,"Pit@Bal 01:00PM ET",11.143,"Pit"
"WR","Tavon Austin",4200,"Car@LA 04:05PM ET",12.014,"LA"
"RB","James Starks",4200,"Ind@GB 04:25PM ET",3.800,"GB"
"WR","Mohamed Sanu",4100,"Atl@TB 08:25PM ET",10.650,"Atl"
"RB","Ryan Mathews",4100,"Phi@NYG 01:00PM ET",9.943,"Phi"
"RB","Bilal Powell",4100,"NYJ@Mia 01:00PM ET",8.400,"NYJ"
"WR","Torrey Smith",4100,"NO@SF 04:05PM ET",6.414,"SF"
"RB","Mike Gillislee",4100,"Buf@Sea 08:30PM ET",6.975,"Buf"
"RB","Jerick McKinnon",4000,"Det@Min 01:00PM ET",6.767,"Min"
"TE","Kyle Rudolph",4000,"Det@Min 01:00PM ET",11.600,"Min"
"DST","Vikings ",4000,"Det@Min 01:00PM ET",13.286,"Min"
"RB","Duke Johnson Jr.",4000,"Dal@Cle 01:00PM ET",11.225,"Cle"
"RB","Tim Hightower",4000,"NO@SF 04:05PM ET",3.643,"NO"
"WR","Jeremy Kerley",4000,"NO@SF 04:05PM ET",11.157,"SF"
"RB","Latavius Murray",4000,"Den@Oak 08:30PM ET",13.983,"Oak"
"RB","Darren Sproles",3900,"Phi@NYG 01:00PM ET",10.929,"Phi"
"RB","Rashad Jennings",3900,"Phi@NYG 01:00PM ET",8.800,"NYG"
"WR","Kenny Stills",3900,"NYJ@Mia 01:00PM ET",9.814,"Mia"
"RB","Isaiah Crowell",3900,"Dal@Cle 01:00PM ET",14.563,"Cle"
"TE","Gary Barnidge",3900,"Dal@Cle 01:00PM ET",9.413,"Cle"
"RB","Mike Davis",3900,"NO@SF 04:05PM ET",1.929,"SF"
"WR","Ted Ginn Jr.",3900,"Car@LA 04:05PM ET",6.429,"Car"
"RB","Thomas Rawls",3900,"Buf@Sea 08:30PM ET",6.300,"Sea"
"DST","Seahawks ",3900,"Buf@Sea 08:30PM ET",9.286,"Sea"
"WR","Adam Thielen",3800,"Det@Min 01:00PM ET",10.057,"Min"
"WR","Victor Cruz",3800,"Phi@NYG 01:00PM ET",8.871,"NYG"
"WR","Brice Butler",3800,"Dal@Cle 01:00PM ET",4.800,"Dal"
"TE","Dennis Pitta",3800,"Pit@Bal 01:00PM ET",10.643,"Bal"
"RB","Shaun Draughn",3800,"NO@SF 04:05PM ET",4.729,"SF"
"WR","Rishard Matthews",3800,"Ten@SD 04:25PM ET",10.088,"Ten"
"WR","Tyler Lockett",3800,"Buf@Sea 08:30PM ET",5.271,"Sea"
"RB","Wendell Smallwood",3700,"Phi@NYG 01:00PM ET",3.486,"Phi"
"WR","Terrance Williams",3700,"Dal@Cle 01:00PM ET",8.657,"Dal"
"TE","Jason Witten",3700,"Dal@Cle 01:00PM ET",9.286,"Dal"
"RB","Benny Cunningham",3700,"Car@LA 04:05PM ET",2.467,"LA"
"WR","Phillip Dorsett",3700,"Ind@GB 04:25PM ET",7.557,"Ind"
"DST","Broncos ",3700,"Den@Oak 08:30PM ET",11.750,"Den"
"WR","Robert Woods",3700,"Buf@Sea 08:30PM ET",9.229,"Buf"
"WR","Anquan Boldin",3600,"Det@Min 01:00PM ET",10.575,"Det"
"RB","T.J. Yeldon",3600,"Jax@KC 01:00PM ET",9.457,"Jax"
"RB","Kenneth Dixon",3600,"Pit@Bal 01:00PM ET",1.533,"Bal"
"RB","Cameron Artis-Payne",3600,"Car@LA 04:05PM ET",9.500,"Car"
"TE","Jack Doyle",3600,"Ind@GB 04:25PM ET",10.850,"Ind"
